Matricula,Turno,Estado,Modalidad,Estado2,Adeudo,Divisa,TotalAdeudo
10255449,Contencion,Activo,Maestria,MATRICULADO,19221,1,19221
200287041,Contencion,Activo,Maestria,MATRICULADO,2803900,0.0052,14580.28
290277716,Contencion,Activo,Maestria,MATRICULADO,1114,19.88,22146.32
290279494,Contencion,Activo,Maestria,MATRICULADO,1078,19.88,21430.64
10276067,Contencion,Activo,Maestria,MATRICULADO,20019,1,20019
10280891,Contencion,Activo,Maestria,MATRICULADO,15256,1,15256
10281713,Contencion,Activo,Maestria,MATRICULADO,16038,1,16038
10281906,Contencion,Activo,Maestria,MATRICULADO,14462,1,14462
10290446,Contencion,Activo,Maestria,MATRICULADO,15052,1,15052
10290905,Contencion,Activo,Maestria,MATRICULADO,13414,1,13414
10563722,Contencion,Activo,Maestria,MATRICULADO,13781,1,13781
20280450,Contencion,Activo,Master,MATRICULADO,13921,1,13921
20284642,Contencion,Activo,Master,MATRICULADO,12614,1,12614
20288059,Contencion,Activo,Master,MATRICULADO,11614,1,11614
20289827,Contencion,Activo,Master,MATRICULADO,12613,1,12613
200269166,Contencion,Activo,Maestria,MATRICULADO,3629417,0.0052,18872.9684
200273076,Contencion,Activo,Maestria,MATRICULADO,4049417,0.0052,21056.9684
200275218,Contencion,Activo,Maestria,MATRICULADO,4271617,0.0052,22212.4084
10213587,Contencion,Activo,Maestria,MATRICULADO,16467,1,16467
10254145,Contencion,Activo,Maestria,MATRICULADO,19924,1,19924
10257196,Contencion,Activo,Maestria,MATRICULADO,17167,1,17167
10275561,Contencion,Activo,Maestria,MATRICULADO,18684,1,18684
10276601,Contencion,Activo,Maestria,MATRICULADO,12407,1,12407
20259633,Contencion,Activo,Master,MATRICULADO,20495,1,20495
20260087,Contencion,Activo,Master,MATRICULADO,17424,1,17424
20264176,Contencion,Activo,Master,MATRICULADO,16065,1,16065
20268328,Contencion,Activo,Master,MATRICULADO,17670,1,17670
20268542,Contencion,Activo,Master,MATRICULADO,17670,1,17670
20271704,Contencion,Activo,Master,MATRICULADO,20495,1,20495
200253909,Contencion,Activo,Maestria,MATRICULADO,5216717,0.0052,27126.9284
200255983,Contencion,Activo,Maestria,MATRICULADO,4350301,0.0052,22621.5652
200255989,Contencion,Activo,Maestria,MATRICULADO,5347475,0.0052,27806.87
200260633,Contencion,Activo,Maestria,MATRICULADO,4848888,0.0052,25214.2176
240262853,Contencion,Activo,Maestria,MATRICULADO,4260,5.07,21598.2
10255521,Contencion,Activo,Maestria,MATRICULADO,22148,1,22148
20253229,Contencion,Activo,Master,MATRICULADO,16059,1,16059
280248572,Contencion,Activo,Doctorado,MATRICULADO,1163602,0.026,30253.652
200247440,Contencion,Activo,Maestria,MATRICULADO,5917875,0.0052,30772.95
200251791,Contencion,Activo,Maestria,MATRICULADO,5215284,0.0052,27119.4768
10046806,Contencion,Activo,Maestria,MATRICULADO,11987,1,11987
10089868,Contencion,Activo,Maestria,MATRICULADO,24524.3,1,24524.3
10090514,Contencion,Activo,Maestria,MATRICULADO,21778.42,1,21778.42
10091138,Contencion,Activo,Maestria,MATRICULADO,6198,1,6198
10093610,Contencion,Activo,Maestria,MATRICULADO,21797,1,21797
10094590,Contencion,Activo,Maestria,MATRICULADO,6270,1,6270
10095624,Contencion,Activo,Maestria,MATRICULADO,7259,1,7259
10096795,Contencion,Activo,Maestria,MATRICULADO,6376,1,6376
10097123,Contencion,Activo,Maestria,MATRICULADO,39743,1,39743
10187921,Contencion,Activo,Maestria,MATRICULADO,6554,1,6554
10188657,Contencion,Activo,Maestria,MATRICULADO,6112,1,6112
10191066,Contencion,Activo,Maestria,MATRICULADO,6112,1,6112
10193303,Contencion,Activo,Maestria,MATRICULADO,6306,1,6306
10200373,Contencion,Activo,Maestria,MATRICULADO,34537,1,34537
10204480,Contencion,Activo,Maestria,MATRICULADO,27955.5,1,27955.5
10209394,Contencion,Activo,Maestria,MATRICULADO,14318,1,14318
10233311,Contencion,Activo,Maestria,MATRICULADO,35478,1,35478
10237845,Contencion,Activo,Maestria,MATRICULADO,15922,1,15922
10237946,Contencion,Activo,Maestria,MATRICULADO,23260,1,23260
10238167,Contencion,Activo,Maestria,MATRICULADO,19924,1,19924
10250235,Contencion,Activo,Maestria,MATRICULADO,21356,1,21356
20205077,Contencion,Activo,Master,MATRICULADO,17859,1,17859
20222454,Contencion,Activo,Master,MATRICULADO,14565,1,14565
20222708,Contencion,Activo,Master,MATRICULADO,45895,1,45895
20227975,Contencion,Activo,Master,MATRICULADO,18446,1,18446
20236143,Contencion,Activo,Master,MATRICULADO,17142,1,17142
20249563,Contencion,Activo,Master,MATRICULADO,27167,1,27167
280285314,Matutino,Activo,Doctorado,MATRICULADO,166487,0.026,4328.662
280294088,Matutino,Activo,Doctorado,MATRICULADO,-261987,0.026,-6811.662
280302732,Matutino,Activo,Doctorado,MATRICULADO,166487,0.026,4328.662
200290330,Matutino,Activo,Doctorado,MATRICULADO,594930,0.0052,3093.636
200293860,Matutino,Activo,Doctorado,MATRICULADO,1231505,0.0052,6403.826
200294501,Matutino,Activo,Doctorado,MATRICULADO,-196505,0.0052,-1021.826
200304652,Matutino,Activo,Doctorado,MATRICULADO,1231505,0.0052,6403.826
240287410,Matutino,Activo,Doctorado,MATRICULADO,2217,5.07,11240.19
240298471,Matutino,Activo,Doctorado,MATRICULADO,-5773,5.07,-29269.11
